source,authors,year,title,journal,vol,pages,antag,additive,synerg,review,times.cited
WOS,B. D. Wisenden,2003,Synergistic interactions between chemical alarm cues and the presence of conspecific and heterospecific fish shoals,Behavioral Ecology and Sociobiology,54,485-490,0,0,1,0,NA
Scopus,"Blaustein, A.R., Romansic, J.M., Kiesecker, J.M., Hatch, A.C.",2003,"Ultraviolet radiation, toxic chemicals and amphibian population declines",Diversity and Distributions,9,123-140,0,0,1,1,NA
Scopus,"Blaustein, A.R., Romansic, J.M., Kiesecker, J.M., Hatch, A.C.",2003,"Ultraviolet radiation, toxic chemicals and amphibian population declines",Diversity and Distributions,9,123-140,0,0,1,1,NA
Scopus,"Storfer, A.",2003,Amphibian declines: Future directions,Diversity and Distributions,9,151-163,0,0,1,1,NA
WOS,J. I. Jones,2003,"Area, altitude and aquatic plant diversity",Ecography,26,411-420,0,1,0,0,NA
Scopus,"Relyea, R.A.",2003,Predator cues and pesticides: A double dose of danger for amphibians,Ecological Applications,13,1515-1521,1,1,1,0,NA
Scopus,"Roma’Ån-Cuesta, R.M., Gracia, M., Retana, J.",2003,Environmental and human factors influencing fire trends in ENSO and non-ENSO years in tropical Mexico,Ecological Applications,13,1177-1192,0,0,1,0,NA
Scopus,"Snyder, W.E., Ives, A.R.",2003,"Interactions between specialist and generalist natural enemies: Parasitoids, predators, and pea aphid biocontrol",Ecology,84,91-107,0,0,1,0,NA
WOS,D. J. O'Dowd,2003,Invasional 'meltdown' on an oceanic island,Ecology Letters,6,812-817,0,0,1,0,NA
Scopus,"O'Dowd, D.J., Green, P.T., Lake, P.S.",2003,Invasional 'meltdown' on an oceanic island,Ecology Letters,6,812-817,0,0,1,0,NA
WOS,B. Z. Houlton,2003,Nitrogen dynamics in ice storm-damaged forest ecosystems: Implications for nitrogen limitation theory,Ecosystems,6,431-443,0,0,1,0,NA
Scopus,"Clarke, A., Harris, C.M.",2003,Polar marine ecosystems: Major threats and future change,Environmental Conservation,30,25-Jan,0,0,1,1,NA
Scopus,"Ioannidou, I.A., Paraskevopoulos, S., Tzionas, P.",2003,"Fuzzy Modeling of Interactions among Environmental Stressors in the Ecosystem of Lake Koronia, Greece",Environmental Management,32,624-638,1,1,1,0,NA
Scopus,"Haag, C.R., Sakwin’Åska, O., Ebert, D.",2003,Test of synergistic interaction between infection and inbreeding in Daphnia magna,Evolution,57,777-783,0,0,1,0,NA
WOS,S. Kluth,2003,Influence of mechanical cutting and pathogen application on the performance and nutrient storage of Cirsium arvense,Journal of Applied Ecology,40,334-343,0,0,1,0,NA
Scopus,"Poitrineau, K., Brown, S.P., Hochberg, M.E.",2003,Defence against multiple enemies,Journal of Evolutionary Biology,16,1319-1327,1,0,1,0,NA
WOS,A. Macia,2003,"Thorn fish Terapon jarbua (Forskal) predation on juvenile white shrimp Penaeus indicus H. Milne Edwards and brown shrimp Metapenaeus monoceros (Fabricius): the effect of turbidity, prey density, substrate type and pneumatophore density",Journal of Experimental Marine Biology and Ecology,291,29-56,0,0,1,0,NA
Scopus,"Root, T.L., Price, J.T., Hall, K.R., Schneider, S.H., Rosenzweig, C., Pounds, J.A.",2003,Fingerprints of global warming on wild animals and plants,Nature,421,57-60,0,0,1,0,NA
WOS,T. Shimada,2003,Negative effects of acorns on the wood mouse Apodemus speciosus,Population Ecology,45,7 to 17,0,0,1,0,NA
WOS,L. Zanette,2003,Synergistic effects of food and predators on annual reproductive success in song sparrows,Proceedings of the Royal Society of London Series B-Biological Sciences,270,799-803,0,0,1,0,NA
WOS,J. M. Pandolfi,2003,Global trajectories of the long-term decline of coral reef ecosystems,Science,301,955-958,0,0,1,0,NA
Scopus,"Asbjornsen, H., Ashton, M.S., Vogt, D.J., Palacios, S.",2004,"Effects of habitat fragmentation on the buffering capacity of edge environments in a seasonally dry tropical oak forest ecosystem in Oaxaca, Mexico",Agriculture Ecosystems and Environment,103,481-495,0,0,1,0,NA
WOS,A. R. Ives,2004,The synergistic effects of stochasticity and dispersal on population densities,American Naturalist,163,375-387,0,0,1,0,NA
WOS,C. Folke,2004,"Regime shifts, resilience, and biodiversity in ecosystem management",Annual Review of Ecology Evolution and Systematics,35,557-581,0,0,1,1,NA
WOS,K. A. Ross,2004,Interaction of multiple disturbances: importance of disturbance interval in the effects of fire on rehabilitating mined areas,Austral Ecology,29,508-529,0,0,1,0,NA
Scopus,"Ross K.A., Taylor J.E., Fox M.D., Fox B.J.",2004,Interaction of multiple disturbances: Importance of disturbance interval in the effects of fire on rehabilitating mined areas,Austral Ecology,29,508-529,0,1,1,0,NA
WOS,V. O. Ezenwa,2004,Host social behavior and parasitic infection: a multifactorial approach,Behavioral Ecology,15,446-454,0,0,1,0,NA
Scopus,"Tabarelli, M., Cardoso Da Silva, J.M., Gascon, C.",2004,"Forest fragmentation, synergisms and the impoverishment of neotropical forests",Biodiversity and Conservation,13,1419-1425,0,0,1,1,NA
WOS,P. Opdam,2004,Climate change meets habitat fragmentation: linking landscape and biogeographical scale levels in research and conservation,Biological Conservation,117,285-297,0,0,1,0,NA
WOS,H. A. Hager,2004,Differential effects of Typha litter and plants on invasive Lythrum salicaria seedling survival and growth,Biological Invasions,6,433-444,0,1,0,0,NA
WOS,C. D. G. Harley,2004,The potential synergistic effects of climate change and fishing pressure on exploited invertebrates on rocky intertidal shores,California Cooperative Oceanic Fisheries Investigations Reports,45,98-110,0,0,1,0,NA
WOS,J. Wohlfahrt,2004,Synergistic feedbacks between ocean and vegetation on mid- and high-latitude climates during the mid-Holocene,Climate Dynamics,22,223-238,0,0,1,0,NA
Scopus,"Christensen, L., Coughenour, M.B., Ellis, J.E., Chen, Z.Z.",2004,Vulnerability of the asian typical steppe to grazing and climate change,Climatic Change,63,351-368,0,0,1,0,NA
Scopus,"Messick, G.A., Overstreet, R.M., Nalepa, T.F., Tyler, S.",2004,"Prevalence of parasites in amphipods Diporeia spp. from Lakes Michigan and Huron, USA",Diseases of Aquatic Organisms,59,159-170,0,1,1,0,NA
WOS,A. Ruggiero,2004,"Environmental correlates of mammal species richness in South America: effects of spatial structure, taxonomy and geographic range",Ecography,27,401-416,0,0,1,0,NA
WOS,A. G. Stephenson,2004,"Interrelationships among inbreeding, herbivory, and disease on reproduction in a wild gourd",Ecology,85,3023-3034,0,1,0,0,NA
WOS,D. J. Booth,2004,Synergistic effects of conspecifics and food on growth and energy allocation of a damselfish,Ecology,85,2881-2887,0,0,1,0,NA
WOS,J. S. Thaler,2004,Interactions between abscisic-acid-mediated responses and plant resistance to pathogens and insects,Ecology,85,48-58,0,0,1,0,NA
WOS,K. Cottenie,2004,Metacommunity structure: Synergy of biotic interactions as selective agents and dispersal as fuel,Ecology,85,114-119,0,0,1,0,NA
WOS,K. F. Davies,2004,"A synergistic effect puts rare, specialized species at greater risk of extinction",Ecology,85,265-271,0,0,1,0,NA
Scopus,"Oli, M.K., Armitage, K.B.",2004,Yellow-bellied marmot population dynamics: Demographic mechanisms of growth and decline,Ecology,85,2446-2455,0,0,1,0,NA
Scopus,"Polak, M., Kroeger, D.E., Cartwright, I.L., Ponce DeLeon, C.",2004,Genotype-specific responses of fluctuating asymmetry and of preadult survival to the effects of lead and temperature stress in Drosophila melanogaster,Environmental Pollution,127,145-155,1,1,1,0,NA
Scopus,"Fraker, S.L., Smith, G.R.",2004,Direct and interactive effects of ecologically relevant concentrations of organic wastewater contaminants on Rana pipiens tadpoles,Environmental Toxicology,19,250-256,0,0,1,0,NA
WOS,C. Y. Chen,2004,"Multiple stress effects of Vision (R) herbicide, pH, and food on zooplankton and larval amphibian species from forest wetlands",Environmental Toxicology and Chemistry,23,823-831,0,0,1,0,NA
Scopus,"Relyea, R.A.",2004,Growth and survival of five amphibian species exposed to combinations of pesticides,Environmental Toxicology and Chemistry,23,1737-1742,1,1,1,0,NA
Scopus,"Relyea, R.A.",2004,Synergistic impacts of malathion and predatory stress on six species of North American tadpoles,Environmental Toxicology and Chemistry,23,1080-1084,0,0,1,0,NA
Scopus,"Asbjornsen, H., Vogt, K.A., Ashton, M.S.",2004,"Synergistic responses of oak, pine and shrub seedlings to edge environments and drought in a fragmented tropical highland oak forest, Oaxaca, Mexico",Forest Ecology and Management,192,313-334,0,0,1,0,NA
WOS,A. Gonzalez-Megias,2004,Response of host species to brood parasitism in dung beetles: importance of nest location by parasitic species,Functional Ecology,18,914-924,0,0,1,0,NA
WOS,A. Kasurinen,2004,Soil CO2 efflux of two silver birch clones exposed to elevated CO2 and O-3 levels during three growing seasons,Global Change Biology,10,1654-1665,0,1,0,0,NA
Scopus,"Garty, J., Levin, T., Lehr, H., Tomer, S., Hochman, A.",2004,Interactive effects of UV-B radiation and chemical contamination on physiological parameters in the lichen Ramalina lacera,Journal of Atmospheric Chemistry,49,267-289,1,1,1,0,NA
WOS,J. J. Haag,2004,Antagonistic interactions between competition and insect herbivory on plant growth,Journal of Ecology,92,156-167,1,0,0,0,NA
WOS,S. Durr,2004,Isolated and combined impacts of blue mussels (Mytilus edulis) and barnacles (Balanus improvisus) on structure and diversity of a fouling community,Journal of Experimental Marine Biology and Ecology,306,181-195,0,0,1,0,NA
WOS,A. Takasuka,2004,Three synergistic growth-related mechanisms in the short-term survival of larval Japanese anchovy Engraulis japonicus in Sagami Bay,Marine Ecology Progress Series,270,217-228,0,0,1,0,NA
Scopus,"Todd, P.A., Ladle, R.J., Lewin-Koh, N.J.I., Chou, L.M.",2004,Genotype x environment interactions in transplanted clones of the massive corals Favia speciosa and Diploastrea heliopora,Marine Ecology Progress Series,271,167-182,1,1,1,0,NA
Scopus,"Bamber, R.N., Seaby, R.M.H.",2004,"The effects of power station entrainment passage on three species of marine planktonic crustacean, Acartia tonsa (Copepoda), Crangon crangon (Decapoda) and Homarus gammarus (Decapoda)",Marine Environmental Research,57,281-294,1,1,1,0,NA
Scopus,"Blidberg, E.",2004,Effects of copper and decreased salinity on survival rate and development of Tridacna gigas larvae,Marine Environmental Research,58,793-797,0,0,1,0,NA
WOS,S. M. Kercher,2004,Multiple disturbances accelerate invasion of reed canary grass (Phalaris arundinacea L.) in a mesocosm study,Oecologia,138,455-464,0,0,1,0,NA
Scopus,"Vinebrooke, R.D., Cottingham, K.L., Norberg, J., Scheffer, M., Dodson, S.I., Maberly, S.C., Sommer, U.",2004,Impacts of multiple stressors on biodiversity and ecosystem functioning: The role of species co-tolerance,Oikos,104,451-457,1,1,1,1,NA
WOS,"Clinchy, M., Zanette, L., Boonstra, R., Wingfield, J.C., Smith, J.N.M.",2004,Balancing food and predator pressure induces chronic stress in songbirds,Proceedings of the Royal Society of London Series B-Biological Sciences,,,0,0,1,0,NA
WOS,A. Sih,2004,Two stressors are far deadlier than one,Trends in Ecology and Evolution,19,274-276,0,0,1,1,NA
Scopus,"Kitzberger, T., Raffaele, E., Veblen, T.",2005,"Variable community responses to herbivory in fire-altered landscapes of northern Patagonia, Argentina",African Journal of Range and Forage Science,22,85-91,0,0,1,0,NA
WOS,S. R. Hall,2005,Selective predation and productivity jointly drive complex behavior in host-parasite systems,American Naturalist,165,70-81,0,0,1,0,NA
WOS,T. Sime-Ngando,2005,Grazer effects on prokaryotes and viruses in a freshwater microcosm experiment,Aquatic Microbial Ecology,41,115-124,0,0,1,0,NA
Scopus,"Relyea, R.A.",2005,The lethal impacts of roundup and predatory stress on six species of North American tadpoles,Archives of Environmental Contamination and Toxicology,48,351-357,0,1,1,0,NA
WOS,C. Martorell,2005,The measurement of chronic disturbance and its effects on the threatened cactus Mammillaria pectinifera,Biological Conservation,124,199-207,0,0,1,0,NA
WOS,A.F. Drohan,2005,Synergistic effect of high temperature and ultraviolet-B radiation on the gorgonian Eunicea tourneforti (Octocorallia: Alcyonacea: Plexauridae),Bulletin of Marine Science,77,257-266,0,0,1,0,NA
WOS,J. R. Rohr,2005,Effects of an herbicide and an insecticide on pond community structure and processes,Ecological Applications,15,1135-1147,0,0,1,0,NA
WOS,L. I. Vilchis,2005,"Ocean warming effects on growth, reproduction, and survivorship of Southern California abalone",Ecological Applications,15,469-480,0,0,1,0,NA
Scopus,"Relyea, R.A., Schoeppner, N.M., Hoverman, J.T.",2005,Pesticides and amphibians: The importance of community context,Ecological Applications,15,1125-1134,0,0,1,0,NA
WOS,M. Mermoz,2005,Landscape influences on occurrence and spread of wildfires in Patagonian forests and shrublands,Ecology,86,2705-2715,0,0,1,0,NA
WOS,N. M. Asquith,2005,"Mammals, edge effects, and the loss of tropical forest diversity",Ecology,86,379-390,0,0,1,0,NA
WOS,S. J. Wright,2005,Annual and spatial variation in seedfall and seedling recruitment in a neotropical forest,Ecology,86,848-860,0,0,1,0,NA
WOS,T. A. Gardner,2005,"Hurricanes and Caribbean coral reefs: Impacts, recovery patterns, and role in long-term decline",Ecology,86,174-184,0,0,1,0,NA
WOS,N. M. Schoeppner,2005,"Damage, digestion, and defence: the roles of alarm cues and kairomones for inducing prey defences",Ecology Letters,8,505-512,0,0,1,0,NA
WOS,"L. Piazzi, D. Balata, G. Ceccherelli, F. Cinelli",2005,Interactive effect of sedimentation and Caulerpa racemosa var cylindracea invasion on macroalgal assemblages in the Mediterranean Sea,"Estuarine, Coastal and Shelf Science",64,467-474,0,0,1,0,NA
Scopus,"Kanowski, J., Catterall, C.P., Wardell-Johnson, G.W.",2005,Consequences of broadscale timber plantations for biodiversity in cleared rainforest landscapes of tropical and subtropical Australia,Forest Ecology and Management,208,359-372,0,0,1,0,NA
Scopus,"Metts B.S., Hopkins W.A., Nestor J.P.",2005,Interaction of an insecticide with larval density in pond-breeding salamanders (Ambystoma),Freshwater Biology,50,685-696,0,1,0,0,NA
WOS,M. Zimmer,2005,Do woodlice and earthworms interact synergistically in leaf litter decomposition?,Functional Ecology,19,7 to 16,0,1,1,0,NA
WOS,E. Oksanen,2005,Structural characteristics and chemical composition of birch (Betula pendula) leaves are modified by increasing CO2 and ozone; data for  meta,Global Change Biology,11,732-748,1,0,0,0,NA
WOS,M. Scheffer,2005,Synergy between small- and large-scale feedbacks of vegetation on the water cycle,Global Change Biology,11,1003-1012,0,0,1,1,NA
Scopus,"Przeslawski R., Davis A.R., Benkendorff K.",2005,Synergistic effects associated with climate change and the development of rocky shore molluscs,Global Change Biology,11,515-522,0,0,1,0,NA
WOS,R. Przeslawski,2005,Synergistic effects associated with climate change and the development of rocky shore molluscs,Global Change Biology,11,515-522,0,0,1,0,NA
WOS,A. Wei,2005,"Untangling the confounding effects of urbanization and high water level on the cover of emergent vegetation in Cootes Paradise Marsh, a degraded coastal wetland of Lake Ontario",Hydrobiologia,544,1 to 9,0,0,1,0,NA
WOS,A. Joern,2005,"The plant stress hypothesis and variable responses by blue grama grass (Bouteloua gracilis) to water, mineral nitrogen, and insect herbivory",Journal of Chemical Ecology,31,2069-2090,0,1,0,0,NA
WOS,A. C. Jones,2005,Testing for defensive synergy in Caribbean sponges: Bad taste or glass spicules?,Journal of Experimental Marine Biology and Ecology,322,67-81,0,0,1,0,NA
WOS,Rita B. J. Peachey,2005,The synergism between hydrocarbon pollutants and UV radiation: a potential link between coastal pollution and larval mortality,Journal of Experimental Marine Biology and Ecology,315,103-114,0,0,1,0,NA
Scopus,"Portner H.O., Langenbuch M., Michaelidis B.",2005,"Synergistic effects of temperature extremes, hypoxia, and increases in CO2 on marine animals: From Earth history to global change",Journal of Geophysical Research,110,,0,0,1,1,NA
Scopus,"Gisladottir, G., Stocking, M.",2005,Land degradation control and its global environmental benefits,Land Degradation and Development,16,99-112,0,0,1,1,NA
WOS,P. Sargian,2005,Non-synergistic effects of water-soluble crude oil and enhanced ultraviolet-B radiation on a natural plankton assemblage,Marine Ecology Progress Series,294,63-77,0,0,1,0,NA
WOS,S. D. Connell,2005,Assembly and maintenance of subtidal habitat heterogeneity: synergistic effects of light penetration and sedimentation,Marine Ecology Progress Series,289,53-61,0,0,1,0,NA
Scopus,"Harrington, L., Fabricius, K., Eaglesham, G., Negri, A.",2005,Synergistic effects of diuron and sedimentation on photosynthesis and survival of crustose coralline algae,Marine Pollution Bulletin,51,415-427,0,0,1,0,NA
WOS,K. N. Mouritsen,2005,Climate warming may cause a parasite-induced collapse in coastal amphipod populations,Oecologia,146,476-483,0,0,1,0,NA
WOS,R. L. Walls,2005,The impact of experimental sedimentation and flooding on the growth and germination of floodplain trees,Plant Ecology,176,203-213,0,1,0,0,NA
Scopus,"Voisin, M., Engel, C.R., Viard, F.",2005,Differential shuffling of native genetic diversity across introduced regions in a brown alga: Aquaculture vs. maritime traffic effects,Proceedings of the National Academy of Sciences,102,5432-5437,0,0,1,1,NA
Scopus,"Silliman, B.R., Van Koppel, J.D., Bertness, M.D., Stanton, L.E., Mendelssohn, I.A.",2005,"Ecology: Drought, snails, and large-scale die-off of Southern U.S. salt marshes",Science,310,1803-1806,0,1,1,0,NA
WOS,D. R. Baud,2005,Interactive effects of UV-B and copper on spring peeper tadpoles (Pseudacris crucifer),Southeastern Naturalist,4,15-22,0,0,1,0,NA
Scopus,"Major, J., Steiner, C., Ditommaso, A., Falca’€o, N.P.S., Lehmann, J.",2005,"Weed composition and cover after three years of soil fertility management in the central Brazilian Amazon: Compost, fertilizer, manure and charcoal applications",Weed Biology and Management,5,69-76,0,1,1,0,NA
WOS,D. L. Miller,2005,"Mid-Texas, USA coastal marsh vegetation pattern and dynamics as influenced by environmental stress and snow goose herbivory",Wetlands,25,648-658,0,0,1,0,NA
WOS,K. E. Havens,2005,Lake Okeechobee conceptual ecological model,Wetlands,25,908-925,0,0,1,0,NA
WOS,F. J. Wrona,2006,Effects of ultraviolet radiation and contaminant-related stressors on Arctic freshwater ecosystems,Ambio,35,388-401,1,1,1,1,NA
WOS,"C.A. Chapman, M.D. Wasserman, T.R. Gillespie, M.L. Speirs, M.J. Lawes, T.L. Saj, T.E. Zigler",2006,"Do food availability, parasitism and stress have synergistic effects on red colubus populations living in forest fragments?",American Journal of Physical Anthropology,131,525-534,0,0,1,0,NA
Scopus,"Sala E., Knowlton N.",2006,Global marine biodiversity trends,Annual Review of Environment and Resources,31,93-122,0,0,1,1,NA
WOS,"J.H. Roe, W.A. Hopkins, S.E. DuRant, J.M. Unrine",2006,Effects of competition and coal-combustion wastes on recruitment and life-history characteristics of salamanders in temporary wetlands,Aquatic Toxicology,79,176-184,0,1,0,0,NA
WOS,A. Kun,2006,Asynchronous snowdrift game with synergistic effect as a model of cooperation,Behavioral Ecology,17,633-641,0,0,1,0,NA
WOS,L. Engqvist,2006,Females benefit from mating with different males in the scorpionfly Panorpa cognata,Behavioral Ecology,17,435-440,0,0,1,0,NA
WOS,R. Rodriguez-Estrella,2006,"Rare, fragile species, small populations, and the dilemma of collections",Biodiversity and Conservation,15,1621-1625,0,0,1,0,NA
WOS,A. C. Lees,2006,Rapid avifaunal collapse along the Amazonian deforestation frontier,Biological Conservation,133,198-211,0,0,1,0,NA
WOS,A. F. Wayne,2006,The abundance of a threatened arboreal marsupial in relation to anthropogenic disturbances at local and landscape scales in Mediterranean-type forests in south-western Australia,Biological Conservation,127,463-476,0,0,1,0,NA
WOS,J. P. Hoover,2006,Water depth influences nest predation for a wetland-dependent bird in fragmented bottomland forests,Biological Conservation,127,37-45,0,0,1,0,NA
WOS,M. L. McKinney,2006,"Correlated non-native species richness of birds, mammals, herptiles and plants: scale effects of area, human population and native plants",Biological Invasions,8,415-425,0,0,1,0,NA
WOS,"R.M. Ewers, R.K. Didham",2006,Confounding factors in the detection of species responses to habitat fragmentation,"Biological Reviews, Cambridge Philosophical Society",81,117-142,0,1,1,1,NA
WOS,C. M. D'Antonio,2006,"Nutrient limitation in a fire-derived, nitrogen-rich Hawaiian grassland",Biotropica,38,458-467,0,0,1,0,NA
WOS,S. L. Weyrauch,2006,Effects of the interaction between genetic diversity and UV-B radiation on wood frog fitness,Conservation Biology,20,802-810,0,0,1,0,NA
Scopus,"Garcia, T.S., Romansic, J.M., Blaustein, A.R.",2006,Survival of three species of anuran metamorphs exposed to UV-B radiation and the pathogenic fungus Batrachochytrium dendrobatidis,Diseases of Aquatic Organisms,72,163-169,0,0,1,0,NA
Scopus,"Hershberger, P., Hart, A., Gregg, J., Elder, N., Winton, J.",2006,"Dynamics of viral hemorrhagic septicemia, viral erythrocytic necrosis and ichthyophoniasis in confined juvenile Pacific herring Clupea pallasii",Diseases of Aquatic Organisms,70,201-208,0,0,1,0,NA
WOS,V. Fournier,2006,Multiple plant exploiters on a shared host: Testing for nonadditive effects on plant performance,Ecological Applications,16,2382-2398,0,0,1,0,NA
WOS,A. M. Romani,2006,Interactions of bacteria and fungi on decomposing litter: Differential extracellular enzyme activities,Ecology,87,2559-2569,0,0,1,0,NA
Scopus,"Burkepile, D.E., Hay, M.E.",2006,Herbivore vs. nutrient control of marine primary producers: Context-dependent effects,Ecology,87,3128-3139,0,0,1,0,NA
WOS,K. L. Preston,2006,Independent effects of food and predator-mediated processes on annual fecundity in a songbird,Ecology,87,160-168,0,1,0,0,NA
WOS,L. Zanette,2006,Food and predators affect egg production in song sparrows,Ecology,87,2459-2467,0,0,1,0,NA
WOS,P. T. Johnson,2006,Adding infection to injury: synergistic effects of predation and parasitism on amphibian malformations,Ecology,87,2227 - 35,0,0,1,0,NA
Scopus,"Hames, R.S., Lowe, J.D., Swarthout, S.B., Rosenberg, K.V.",2006,Understanding the risk to neotropical migrant bird species of multiple human-caused stressors: Elucidating processes behind the patterns,Ecology and Society,11,-,0,1,1,0,NA
WOS,C. C. Wilmers,2006,"Predator disease out-break modulates top-down, bottom-up and climatic effects on herbivore population dynamics",Ecology Letters,9,383-389,0,0,1,0,NA
WOS,C. D. G. Harley,2006,The impacts of climate change in coastal marine systems,Ecology Letters,9,228-241,0,0,1,1,NA
WOS,M. Vellend,2006,Antagonistic effects of seed dispersal and herbivory on plant migration,Ecology Letters,9,316-323,1,0,0,0,NA
WOS,P. Casula,2006,Understanding biodiversity effects on prey in multi-enemy systems,Ecology Letters,9,995-1004,0,0,1,1,NA
Scopus,"Relyea R., Hoverman J.",2006,Assessing the ecology in ecotoxicology: A review and synthesis in freshwater systems,Ecology Letters,9,1157-1171,0,1,1,1,NA
Scopus,"Franks, S.J., Kral, A.M., Pratt, P.D.",2006,Herbivory by introduced insects reduces growth and survival of Melaleuca quinquenervia seedlings,Environmental Entomology,35,366-372,1,1,1,0,NA
WOS,"C. Caroppo, L. Stabili, M. Aresta, C. Corinaldesi, R. Danovaro",2006,Impact of heavy metals and PCBs on marine picoplankton,Environmental Toxicology,21,541-551,1,0,1,0,NA
Scopus,"Shaw J.R., Dempsey T.D., Chen C.Y., Hamilton J.W., Folt C.L.",2006,"Comparative toxicity of cadmium, zinc, and mixtures of cadmium and zinc to daphnids",Environmental Toxicology and Chemistry,25,182-189,1,1,0,0,NA
Scopus,"Christensen M.R., Graham M.D., Vinebrooke R.D., Findlay D.L., Paterson M.J., Turner M.A.",2006,Multiple anthropogenic stressors cause ecological surprises in boreal lakes,Global Change Biology,12,2316-2322,1,1,1,0,NA
WOS,M. R. Christensen,2006,Multiple anthropogenic stressors cause ecological surprises in boreal lakes,Global Change Biology,12,2316-2322,1,0,1,0,NA
WOS,S. K. Wilson,2006,Multiple disturbances and the global degradation of coral reefs: are reef fishes at risk or resilient?,Global Change Biology,12,2220-2234,0,0,1,0,NA
WOS,C. Hely,2006,Sensitivity of African biomes to changes in the precipitation regime,Global Ecology and Biogeography,15,258-270,0,0,1,0,NA
Scopus,"Perez-Coll, C.S., Herkovits, J.",2006,"Synergistic effects of copper and butylic ester of 2,4- dichlorophenoxyacetic acid (Esternon Ultra) on amphibian embryos",International Journal of Environmental Research and Public Health,3,343-347,1,1,1,0,NA
Scopus,"Marr, A.B., Arcese, P., Hochachka, W.M., Reid, J.M., Keller, L.F.",2006,Interactive effects of environmental stress and inbreeding on reproductive traits in a wild bird population,Journal of Animal Ecology,75,1406-1415,1,1,0,0,NA
WOS,E. Jongejans,2006,What controls the population dynamics of the invasive thistle Carduus nutans in its native range?,Journal of Applied Ecology,43,877-886,0,0,1,0,NA
Scopus,"Botes, A., McGeoch, M.A., Robertson, H.G., Van Niekerk, A., Davids, H.P., Chown, S.L.",2006,"Ants, altitude and change in the northern Cape Floristic Region",Journal of Biogeography,33,71-90,0,0,1,0,NA
WOS,M. Karonen,2006,"Effects of elevated carbon dioxide and ozone on foliar proanthocyanidins in Betula platyphylla, Betula ermanii, and Fagus crenata seedlings",Journal of Chemical Ecology,32,1445-1458,0,1,0,0,NA
WOS,B. J. Cardinale,2006,Geographic patterns of diversity in streams are predicted by a multivariate model of disturbance and productivity,Journal of Ecology,94,609-618,0,0,1,0,NA
WOS,M. J. Papaik,2006,Species resistance and community response to wind disturbance regimes in northern temperate forests,Journal of Ecology,94,1011-1026,0,0,1,0,NA
WOS,A. E. Kahn,2006,Thalassia testudinum seedling responses to changes in salinity and nitrogen levels,Journal of Experimental Marine Biology and Ecology,335,1 to 12,0,0,1,0,NA
WOS,L. Seabrook,2006,"Cattle, crops and clearing: Regional drivers of landscape change in the Brigalow Belt, Queensland, Australia, 1840-2004",Landscape and Urban Planning,78,373-385,0,0,1,0,NA
WOS,C. J. Watras,2006,The methylmercury cycle in Little Rock Lake during experimental acidification and recovery,Limnology and Oceanography,51,257 - 270,0,0,1,0,NA
WOS,AL Lambo,2006,Continued post-bleaching decline and changed benthic community of a Kenyan coral reef,Marine Pollution Bulletin,52,1617-1624,0,0,1,0,NA
WOS,E. R. Remily,2006,Ecological physiology of a coral pathogen and the coral reef environment,Microbial Ecology,51,345-352,0,0,1,0,NA
Scopus,"France, K.E., Duffy, J.E.",2006,Diversity and dispersal interactively affect predictability of ecosystem function,Nature,441,1139-1143,0,0,1,0,NA
WOS,H. Dehlin,2006,Aboveground and belowground responses to quality and heterogeneity of organic inputs to the boreal forest,Oecologia,150,108-118,0,0,1,0,NA
Scopus,"Hofstetter, R.W., Cronin, J.T., Klepzig, K.D., Moser, J.C., Ayres, M.P.",2006,"Antagonisms, mutualisms and commensalisms affect outbreak dynamics of the southern pine beetle",Oecologia,147,679-691,0,1,0,0,NA
WOS,L. Zanette,2006,Combined food and predator effects on songbird nest survival and annual reproductive success: results from a bi-factorial experiment,Oecologia,147,632-640,0,0,1,0,NA
WOS,E. Pelletier,2006,Ecotoxicological effects of combined UVB and organic contaminants in coastal waters: A review,Photochemistry and Photobiology,82,981-993,0,1,1,1,NA
WOS,J. A. Gill,2006,Opposing forces of aerosol cooling and El Nino drive coral bleaching on Caribbean reefs,Proceedings of the National Academy of Sciences,103,18870-18873,1,0,1,0,NA
Scopus,"Lewison, R.",2007,Population responses to natural and human-mediated disturbances: Assessing the vulnerability of the common hippopotamus (Hippopotamus amphibius),African Journal of Ecology,45,407-415,0,0,1,0,NA
WOS,O. A. Adebayo;D. P. N. Kio;O. O. Emmanuel,2007,"Assessment of potential ecological disruption based on heavy metal toxicity, accumulation and distribution in media of the Lagos Lagoon",African Journal of Ecology,45,454-463,0,1,0,0,NA
Scopus,"Richardson, D.M., Rundel, P.W., Jackson, S.T., Teskey, R.O., Aronson, J., Bytnerowicz, A., Wingfield, M.J., Proches’_, S’_.",2007,"Human impacts in pine forests: Past, present, and future",Annual Review of Ecology Evolution and Systematics,38,275-297,0,0,1,1,NA
Scopus,"Ortiz-Ceballos, A.I., Fragoso, C., Brown, G.G.",2007,Synergistic effect of a tropical earthworm Balanteodrilus pearsei and velvetbean Mucuna pruriens var. utilis on maize growth and crop production,Applied Soil Ecology,35,356-362,0,1,1,0,NA
WOS,M. S. Koch;S. A. Schopmeyer;M. Holmer;C. J. Madden;C. Kyhn-Hansen,2007,"Thalassia testudinum response to the interactive stressors hypersalinity, sulfide and hypoxia",Aquatic Botany,87,104-110,0,0,1,0,NA
