id,antagonism,additive,synergy,not_tested,glm_interactions,null model,other
249,0,0,1,0,1,0,1
250,0,0,1,0,1,0,0
251,0,0,1,0,1,0,0
252,0,0,1,1,0,0,0
253,0,1,0,0,1,0,0
255,0,1,1,1,0,0,0
256,0,0,1,0,1,0,0
257,0,1,1,0,1,0,0
258,0,0,1,1,0,0,0
259,0,0,1,1,0,0,0
261,0,0,1,1,0,0,0
263,0,1,0,0,1,1,0
264,0,0,1,0,1,0,1
265,0,0,1,1,0,0,0
266,0,0,1,1,0,0,0
267,0,0,1,1,0,0,0
268,0,0,1,0,1,0,0
269,0,0,1,1,0,0,0
270,0,0,1,1,0,0,0
272,0,0,1,1,0,0,0
273,0,0,1,0,1,0,0
274,0,0,1,0,1,1,0
275,0,0,1,1,0,0,0
276,0,0,1,0,1,0,0
277,0,0,1,0,1,0,1
278,0,0,1,0,0,0,1
279,0,1,0,0,1,0,0
280,0,0,1,0,1,0,0
281,0,0,1,0,1,0,0
282,0,1,1,1,0,0,0
283,0,0,1,1,0,0,0
285,1,0,0,1,0,0,0
288,1,1,1,0,1,0,0
289,1,0,1,0,1,1,0
290,1,1,0,0,0,1,0
291,1,1,1,0,1,1,0
292,1,0,1,0,1,1,0
293,0,0,1,1,0,0,0
294,0,0,1,1,0,0,0
295,1,1,1,0,0,0,1
296,1,1,0,0,1,0,1
297,0,0,1,0,1,1,0
298,0,0,1,1,0,0,0
299,0,1,0,0,1,0,0
300,0,0,1,0,1,0,0
301,0,0,1,1,0,0,0
302,0,0,1,0,1,0,0
303,0,0,1,1,0,0,0
304,0,0,1,0,1,0,0
305,0,0,1,1,0,0,0
306,0,0,1,0,1,0,0
307,0,0,1,0,1,1,0
308,0,0,1,0,0,1,0
309,0,1,0,0,1,0,0
310,0,0,1,0,1,0,0
312,1,0,1,0,1,0,0
313,0,0,1,1,0,0,0
314,0,1,0,0,1,0,0
316,0,1,1,0,1,1,0
317,0,0,1,0,1,1,0
319,0,1,0,1,0,0,0
320,0,1,1,1,0,0,0
322,0,0,1,1,0,0,0
323,0,0,1,0,1,1,0
324,0,0,1,1,0,0,0
325,0,0,1,0,1,0,0
326,0,0,1,0,1,1,0
327,0,0,1,1,0,0,0
328,0,1,1,0,1,0,0
329,1,1,1,0,1,1,0
330,0,0,1,1,0,0,0
332,0,1,1,0,0,0,1
333,0,1,1,0,1,0,0
334,0,0,1,0,1,0,0
